datestr,XCENU,YCENU,XCENO,YCENO,DXCEN,DYCEN,totalTime,timeOfYear,timeOfDay,T_SPCCD,T_SPCEB
20160503_223007,31.031088,328.921143,12.111336,301.156738,18.919752,27.764404,9.612697,0.339323,0.937581,-44.792900,-3.506880
20160504_014505,59.307220,328.872955,40.731529,300.871735,18.575691,28.001221,9.613068,0.339693,0.072975,-36.573400,-5.024750
20160504_050005,89.105507,327.101410,69.622322,299.997986,19.483185,27.103424,9.613438,0.340064,0.208391,-43.967900,-5.614040
20160504_080005,113.981346,328.052490,96.272705,299.637299,17.708641,28.415192,9.613781,0.340406,0.333391,-40.573100,-6.250050
20160504_110005,140.326904,328.240173,122.730247,299.762665,17.596657,28.477509,9.614123,0.340749,0.458391,-45.452000,-10.084400
20160504_140005,167.498947,326.115051,149.186737,299.273590,18.312210,26.841461,9.614465,0.341091,0.583391,-47.917000,-10.688600
20160504_172407,203.015701,326.604431,183.602173,298.365784,19.413528,28.238647,9.614853,0.341479,0.725081,-48.244900,-10.778500
20160504_192405,218.432419,326.235535,201.021484,298.236176,17.410934,27.999359,9.615081,0.341707,0.808391,-42.645500,-3.713310
20160505_034505,287.439911,324.168915,268.457001,296.408813,18.982910,27.760101,9.616034,0.342659,0.156308,-38.076500,-5.719690
20160505_081505,325.343933,321.251099,306.463470,295.288361,18.880463,25.962738,9.616547,0.343173,0.343808,-47.506900,-10.576400
20160505_170458,400.815094,322.116974,383.482513,292.149200,17.332581,29.967773,9.617555,0.344180,0.711782,-35.820400,-1.850050
20160505_190405,418.744507,311.828827,399.586029,291.777740,19.158478,20.051086,9.617781,0.344407,0.794502,-41.900300,-3.300870
20160505_233007,449.577484,319.406799,430.716461,290.651550,18.861023,28.755249,9.618287,0.344912,0.979248,-35.904100,-4.668950
20160506_023005,473.196655,320.061951,454.083496,289.638245,19.113159,30.423706,9.618629,0.345255,0.104225,-43.720200,-7.970710
20160506_052005,492.812836,319.555756,475.641510,288.648834,17.171326,30.906921,9.618952,0.345578,0.222280,-47.178600,-10.419600
20160506_073220,-381.008209,97.040192,-400.777008,70.389534,19.768799,26.650658,9.619204,0.345829,0.314120,-39.575800,-5.656280
20160506_103026,14.523892,117.395058,-4.525630,88.215195,19.049522,29.179863,9.619542,0.346168,0.437801,-46.357100,-9.995290
20160506_123005,33.473621,116.706932,13.975169,87.979713,19.498452,28.727219,9.619770,0.346395,0.520891,-39.742100,-6.271320
20160506_143005,52.398830,116.953331,32.398769,87.576729,20.000061,29.376602,9.619998,0.346623,0.604225,-38.243300,-6.058720
20160506_170027,585.143372,314.136383,565.243958,284.009766,19.899414,30.126617,9.620284,0.346909,0.708646,-46.439300,-10.509200
