datestr,XCENU,YCENU,XCENO,YCENO,DXCEN,DYCEN,totalTime,timeOfYear,timeOfDay,T_SPCCD,T_SPCEB
20110101_065127,-598.687317,-385.336823,-619.500305,-391.698090,20.812988,6.361267,4.274841,0.000782,0.285729,-35.485500,-2.910680
20110101_184504,-528.517822,-381.285858,-546.655823,-387.738312,18.138000,6.452454,4.276198,0.002139,0.781296,-31.282400,-2.521960
20110102_072504,-440.145020,-377.385529,-461.644806,-383.847900,21.499786,6.462372,4.277643,0.003584,0.309074,-38.493300,-3.548130
20110102_130004,-402.661011,-374.280609,-422.016846,-382.265839,19.355835,7.985229,4.278280,0.004221,0.541713,-37.325400,-3.982360
20110102_192004,-358.105347,-372.635254,-375.668365,-380.600586,17.563019,7.965332,4.279002,0.004943,0.805602,-31.113700,-2.175330
20110103_000003,-321.789093,-370.833893,-340.674896,-379.435852,18.885803,8.601959,4.279535,0.005476,0.000035,-31.619700,-1.910970
20110103_120003,-227.801163,-367.519257,-247.745850,-376.781982,19.944687,9.262726,4.280904,0.006845,0.500035,-38.576700,-4.397850
20110103_182233,-178.599380,-368.446289,-197.148865,-375.599670,18.549484,7.153381,4.281631,0.007572,0.765660,-31.198000,-2.603650
20110104_004003,-128.847458,-365.429901,-146.319824,-374.559845,17.472366,9.129944,4.282349,0.008290,0.027813,-30.691600,-1.626940
20110106_183629,453.993500,-285.209503,435.238556,-298.215302,18.754944,13.005798,4.289871,0.015812,0.775336,-31.872600,-2.379100
20110106_200005,464.922607,-285.782440,445.821533,-298.476929,19.101074,12.694489,4.290030,0.015971,0.833391,-31.113700,-0.516838
20110106_231107,488.117523,-285.536865,469.536499,-299.112366,18.581024,13.575500,4.290393,0.016334,0.966053,-32.967200,-1.768880
20110107_010005,501.286530,-287.114594,482.900024,-299.506622,18.386505,12.392029,4.290600,0.016541,0.041725,-31.198000,-0.657677
20110107_023006,512.181274,-285.809052,493.869476,-299.841797,18.311798,14.032745,4.290771,0.016712,0.104236,-32.209600,-0.476616
20110107_052505,526.908752,-285.930145,508.750488,-299.988647,18.158264,14.058502,4.291104,0.017045,0.225752,-44.133000,-5.276800
20110108_111346,722.538574,-292.971436,703.790039,-309.857361,18.748535,16.885925,4.294505,0.020446,0.467894,-35.569200,-3.486260
20110108_131305,728.945007,-289.603790,714.527405,-310.625275,14.417603,21.021484,4.294732,0.020673,0.550752,-30.269300,0.005310
20110108_150005,742.084412,-294.904480,723.952087,-311.328186,18.132324,16.423706,4.294935,0.020876,0.625058,-34.143700,-1.505410
20110120_100629,-295.325012,486.031525,-306.685822,477.570221,11.360809,8.461304,4.327231,0.053172,0.421169,-44.298000,-8.800960
20110121_000005,-181.364517,491.437866,-194.599304,481.208893,13.234787,10.228973,4.328816,0.054757,0.000058,-31.113700,-3.568760
20110121_061705,-130.526047,492.886841,-142.650833,482.469147,12.124786,10.417694,4.329533,0.055474,0.261863,-32.967200,-3.054250
20110121_162005,-46.086285,493.262543,-58.605274,483.889099,12.518990,9.373444,4.330679,0.056620,0.680613,-31.872600,-3.321460
20110122_093128,170.414154,446.703461,161.096619,433.826874,9.317535,12.876587,4.332640,0.058581,0.396852,-46.028200,-8.341080
20110122_113106,188.673203,447.745728,178.167984,433.619690,10.505219,14.126038,4.332868,0.058809,0.479931,-47.753000,-6.399170
20110122_133106,205.893829,446.650543,195.085480,433.347961,10.808350,13.302582,4.333096,0.059037,0.563264,-31.451100,-1.971940
20110122_151106,220.031281,445.988251,209.221466,433.137390,10.809814,12.850861,4.333286,0.059227,0.632708,-31.872600,-1.931300
20110122_183106,246.446732,447.995789,237.378510,432.658386,9.068222,15.337402,4.333666,0.059607,0.771597,-29.931200,-2.216060
20110122_214105,275.720947,445.909302,263.758453,432.141052,11.962494,13.768250,4.334027,0.059969,0.903530,-32.462200,-3.198040
20110123_003906,298.714539,445.788635,287.885498,431.621368,10.829041,14.167267,4.334366,0.060307,0.027153,-44.215500,-6.527180
20110123_035206,326.543823,445.182587,314.703491,430.939606,11.840332,14.242981,4.334733,0.060674,0.161181,-45.122600,-7.256520
20110123_090106,367.778687,444.268066,356.262482,429.615631,11.516205,14.652435,4.335320,0.061262,0.375764,-38.993200,-4.668950
20110123_120105,392.155304,443.296600,380.248016,428.819275,11.907288,14.477325,4.335663,0.061604,0.500752,-44.957800,-7.927250
20110123_150105,415.439240,442.653046,403.654053,427.896271,11.785187,14.756775,4.336005,0.061946,0.625752,-45.945900,-8.210180
20110123_210105,463.168457,440.203857,449.731995,425.826080,13.436462,14.377777,4.336689,0.062630,0.875752,-33.639800,-4.252220
20110124_030105,505.911865,438.926178,494.303955,423.586273,11.607910,15.339905,4.337374,0.063315,0.125752,-39.742100,-5.424160
20110124_120105,569.518127,435.509705,558.072021,419.653625,11.446106,15.856079,4.338400,0.064342,0.500752,-39.409400,-6.335230
20110125_101706,709.108398,424.837952,697.233459,407.638031,11.874939,17.199921,4.340941,0.066882,0.428542,-37.408900,-4.689850
20110125_120206,718.696533,423.266693,706.889526,406.549255,11.807007,16.717438,4.341140,0.067081,0.501458,-33.135400,-2.787770
20110125_180705,749.659912,421.373047,739.024414,402.706512,10.635498,18.666534,4.341834,0.067775,0.754919,-45.616700,-8.844870
20110129_121006,-795.260742,-280.938110,-812.300354,-288.361328,17.039612,7.423218,4.352107,0.078048,0.507014,-46.932300,-8.362920
20110129_182005,-767.738220,-279.176086,-786.383789,-283.537323,18.645569,4.361237,4.352810,0.078751,0.763947,-45.122600,-4.752530
20110130_001005,-740.162537,-271.434204,-759.385742,-279.034668,19.223206,7.600464,4.353476,0.079417,0.007002,-40.323900,-5.466340
20110130_065005,-704.734680,-269.112396,-725.667725,-274.100311,20.933044,4.987915,4.354236,0.080177,0.284780,-44.298000,-4.003100
20110130_132005,-671.171509,-262.141663,-689.979370,-269.444031,18.807861,7.302368,4.354978,0.080919,0.555613,-39.991500,-5.024750
20110130_190505,-636.897461,-257.085327,-656.183289,-265.510773,19.285828,8.425446,4.355634,0.081575,0.795197,-41.403000,-6.037480
20110131_012504,-598.906616,-253.784943,-616.670898,-261.380096,17.764282,7.595154,4.356356,0.082297,0.059074,-34.227700,-3.878790
20110131_072004,-558.208618,-249.469177,-577.738281,-257.674896,19.529663,8.205719,4.357031,0.082972,0.305602,-42.314400,-5.508510
20110131_102005,-540.551453,-247.001007,-557.306396,-255.867828,16.754944,8.866821,4.357373,0.083314,0.430613,-46.603700,-8.079470
20110131_131004,-520.663330,-245.275604,-537.530823,-254.282471,16.867493,9.006866,4.357697,0.083638,0.548657,-41.403000,-5.846660
20110131_163004,-496.794891,-243.524475,-513.854370,-252.418549,17.059479,8.894073,4.358077,0.084018,0.687546,-43.720200,-6.271320
20110131_192004,-478.333954,-239.166428,-493.267914,-250.920044,14.933960,11.753616,4.358400,0.084341,0.805602,-31.366800,-2.358700
20110131_222004,-452.682617,-240.191254,-471.059326,-249.355759,18.376709,9.164505,4.358742,0.084683,0.930602,-33.639800,-2.705910
20110201_012504,-429.578552,-238.000900,-447.884827,-247.801819,18.306274,9.800919,4.359094,0.085035,0.059074,-40.656200,-4.773460
20110201_044004,-405.553223,-236.107132,-423.011383,-246.264465,17.458160,10.157333,4.359465,0.085406,0.194491,-42.314400,-5.213720
20110201_080004,-380.242249,-235.151245,-397.094910,-244.771545,16.852661,9.620300,4.359845,0.085786,0.333380,-46.685900,-4.606320
20110202_001905,-179.127426,-233.931686,-194.358368,-244.478973,15.230942,10.547287,4.361706,0.087648,0.013252,-49.717900,-6.783860
20110202_020005,-161.809937,-232.597336,-180.106339,-244.090973,18.296402,11.493637,4.361898,0.087840,0.083391,-42.480000,-5.150670
20110202_033505,-150.248627,-232.352020,-166.626846,-243.730728,16.378220,11.378708,4.362079,0.088020,0.149363,-43.885400,-5.466340
20110202_051505,-136.328125,-232.117828,-152.374344,-243.389633,16.046219,11.271805,4.362269,0.088210,0.218808,-42.976400,-5.171680
20110202_065505,-137.080658,-233.073441,-155.429138,-243.028488,18.348480,9.955048,4.362459,0.088400,0.288252,-41.651700,-4.627200
20110202_083505,-107.395660,-231.869064,-123.792336,-242.770508,16.396675,10.901443,4.362649,0.088591,0.357697,-41.485900,-4.335410
20110203_023556,41.688721,-237.316940,26.183506,-250.744339,15.505215,13.427399,4.364704,0.090646,0.108287,-42.645500,-6.313930
20110203_061505,74.384079,-238.889633,57.661903,-250.772461,16.722176,11.882828,4.365121,0.091062,0.260475,-31.029300,-2.114270
20110203_091005,100.163261,-238.057999,82.651367,-250.779678,17.511894,12.721680,4.365454,0.091395,0.382002,-42.728200,-5.973830
20110203_122505,129.476303,-238.280670,110.576584,-250.931152,18.899719,12.650482,4.365825,0.091766,0.517419,-43.720200,-6.441810
20110203_163505,164.308090,-238.216553,146.149094,-251.315598,18.158997,13.099045,4.366300,0.092241,0.691030,-40.490100,-5.466340
20110204_200606,390.290405,-244.615936,372.600555,-257.353149,17.689850,12.737213,4.369439,0.095380,0.837569,-30.607200,-3.527490
20110205_070505,474.011078,-245.700134,456.684021,-261.492920,17.327057,15.792786,4.370692,0.096633,0.295197,-43.307100,-6.805280
20110205_161306,541.643555,-247.835831,522.846985,-265.764465,18.796570,17.928635,4.371734,0.097675,0.675764,-42.148800,-4.815280
20110205_190010,558.878113,-248.568924,542.389526,-267.203979,16.488586,18.635056,4.372051,0.097993,0.791782,-30.860500,-1.809460
20110205_210005,574.504761,-252.339844,556.024536,-268.254272,18.480225,15.914429,4.372279,0.098221,0.875058,-36.740600,-3.858100
20110206_000005,593.532715,-253.972717,576.109497,-269.893646,17.423218,15.920929,4.372622,0.098563,0.000058,-30.353800,-2.195690
20110206_074005,642.252808,-254.896881,625.470459,-274.342438,16.782349,19.445557,4.373496,0.099437,0.319502,-44.545500,-7.321180
20110206_110005,662.994995,-258.584595,645.825439,-276.439575,17.169556,17.854980,4.373876,0.099818,0.458391,-44.133000,-6.976890
20110206_181105,706.725342,-263.387817,687.731934,-281.216980,18.993408,17.829163,4.374696,0.100637,0.757697,-32.378100,-3.465640
20110207_130136,798.795044,-275.192505,781.704041,-295.146820,17.091003,19.954315,4.376845,0.102787,0.542778,-46.932300,-3.754650
20110207_152004,809.360107,-280.035461,791.591431,-297.030457,17.768677,16.994995,4.377109,0.103050,0.638935,-31.451100,-0.617424
20110211_181505,-20.408846,-228.136612,-36.232475,-240.009186,15.823629,11.872574,4.388393,0.114334,0.760475,-38.909900,-4.961860
20110211_192505,-9.239639,-226.513565,-26.151623,-239.926163,16.911983,13.412598,4.388526,0.114467,0.809086,-33.051300,-1.586420
20110211_210005,5.718914,-226.694885,-12.517437,-239.822205,18.236351,13.127319,4.388707,0.114648,0.875058,-34.395500,-2.358700
20110211_224505,18.831841,-228.009995,2.584438,-239.754456,16.247402,11.744461,4.388906,0.114847,0.947975,-38.326600,-1.971940
20110212_001005,32.953781,-226.018677,14.750952,-239.692993,18.202829,13.674316,4.389068,0.115009,0.007002,-37.826300,-2.931180
20110212_014505,46.731567,-225.407089,28.577303,-239.660629,18.154264,14.253540,4.389248,0.115190,0.072975,-39.742100,-3.486260
20110212_031505,56.800987,-225.548859,41.324173,-239.641937,15.476814,14.093079,4.389420,0.115361,0.135475,-43.307100,-5.424160
20110212_063004,86.078873,-224.158905,69.249306,-239.705200,16.829567,15.546295,4.389790,0.115731,0.270880,-44.957800,-6.869580
20110212_080005,98.475662,-225.704300,82.188126,-239.763153,16.287537,14.058853,4.389961,0.115903,0.333391,-51.024100,-7.364320
20110212_100005,-337.696106,-222.123611,-353.758850,-231.694717,16.062744,9.571106,4.390190,0.116131,0.416725,-38.743300,-3.672000
20110212_113005,-321.637573,-217.912994,-341.746826,-230.582901,20.109253,12.669907,4.390361,0.116302,0.479225,-44.545500,-5.550710
20110212_130005,-312.189026,-219.309082,-329.580383,-230.424957,17.391357,11.115875,4.390532,0.116473,0.541725,-45.040200,-6.591280
20110212_151148,-269.195007,-218.968307,-285.510193,-229.740265,16.315186,10.771957,4.390782,0.116723,0.633194,-31.535400,-1.505410
20110212_170005,-279.981598,-218.815704,-296.942841,-228.970139,16.961243,10.154434,4.390988,0.116929,0.708391,-38.326600,-2.808230
20110212_183505,-266.848663,-219.658859,-283.849823,-228.415497,17.001160,8.756638,4.391169,0.117110,0.774363,-31.956900,-2.134620
20110212_200005,-250.271927,-217.254913,-272.223846,-227.921951,21.951920,10.667038,4.391330,0.117271,0.833391,-33.723800,-1.809460
20110212_220005,-236.822052,-216.234741,-255.499878,-227.280884,18.677826,11.046143,4.391558,0.117500,0.916725,-36.071500,-3.506880
20110213_010004,-214.178650,-216.264893,-230.355850,-226.363876,16.177200,10.098984,4.391901,0.117842,0.041713,-37.826300,-2.073590
20110213_023005,-200.427872,-214.455551,-217.725845,-225.932251,17.297974,11.476700,4.392072,0.118013,0.104225,-34.898800,-2.338310
20110213_040005,-187.099609,-213.719696,-205.095840,-225.511871,17.996231,11.792175,4.392243,0.118184,0.166725,-39.991500,-3.796010
20110213_073005,-156.033264,-214.212296,-175.239334,-224.687225,19.206070,10.474930,4.392642,0.118583,0.312558,-33.807800,-2.890180
20110213_092004,-142.952728,-213.997589,-159.635330,-224.288666,16.682602,10.291077,4.392851,0.118792,0.388935,-33.135400,-2.787770
20110213_120005,-120.046028,-211.854370,-126.187378,-223.640182,6.141350,11.785812,4.393156,0.119097,0.500058,-45.781300,-7.537120
20110213_160004,-86.637764,-211.755066,-102.356842,-223.081696,15.719078,11.326630,4.393612,0.119553,0.666713,-33.723800,-3.527490
20110213_190004,-61.819939,-210.050674,-76.362602,-222.678986,14.542664,12.628311,4.393954,0.119895,0.791713,-32.883100,-2.685460
20110213_213004,-39.369118,-210.130463,-54.655998,-222.356171,15.286880,12.225708,4.394239,0.120180,0.895880,-46.685900,-7.927250
20110214_000004,-17.585106,-210.153214,-33.026688,-222.202698,15.441582,12.049484,4.394524,0.120466,0.000046,-32.630600,-2.236420
20110214_063004,40.551262,-209.135910,23.480066,-221.946274,17.071196,12.810364,4.395266,0.121207,0.270880,-32.883100,-2.644550
20110215_101126,277.197479,-209.297943,260.890991,-225.453903,16.306488,16.155960,4.398425,0.124366,0.424606,-39.326100,-5.424160
20110215_121106,294.288605,-210.481705,277.421997,-226.015167,16.866608,15.533463,4.398652,0.124593,0.507708,-32.630600,-2.521960
20110215_141106,311.806732,-210.162140,293.953003,-226.574234,17.853729,16.412094,4.398880,0.124821,0.591042,-39.159700,-4.460330
20110215_154006,324.602783,-211.128113,306.118958,-227.043777,18.483826,15.915665,4.399050,0.124991,0.652847,-35.485500,-2.767300
20110215_184006,349.536774,-210.390976,330.529510,-228.030396,19.007263,17.639420,4.399392,0.125333,0.777847,-36.907800,-1.931300
20110215_204005,365.589233,-212.954224,346.673981,-228.721390,18.915253,15.767166,4.399620,0.125561,0.861169,-37.993100,-3.878790
20110215_233005,387.657867,-213.629410,369.307495,-229.436813,18.350372,15.807404,4.399943,0.125884,0.979225,-32.883100,-2.379100
20110216_010005,399.858368,-213.968246,381.126953,-230.348755,18.731415,16.380508,4.400114,0.126055,0.041725,-38.076500,-2.890180
20110216_023005,410.509644,-214.025299,392.868042,-230.951004,17.641602,16.925705,4.400285,0.126226,0.104225,-44.298000,-4.502020
20110216_043005,426.406494,-215.796188,408.510468,-231.830154,17.896027,16.033966,4.400514,0.126455,0.187558,-32.125400,-1.444680
20110216_073005,450.309937,-216.539307,434.504517,-233.179276,15.805420,16.639969,4.400856,0.126797,0.312558,-40.157800,-4.397850
20110216_092005,465.244476,-217.394516,445.551025,-234.025070,19.693451,16.630554,4.401065,0.127006,0.388947,-34.731100,-2.603650
20110216_113005,483.570557,-217.931259,472.665039,-235.659622,10.905518,17.728363,4.401312,0.127253,0.479225,-42.811000,-4.627200
20110217_101805,639.213806,-231.969391,620.130554,-248.499802,19.083252,16.530411,4.403913,0.129854,0.429225,-35.569200,-4.773460
20110217_130005,656.055176,-233.360992,637.009460,-250.350906,19.045715,16.989914,4.404221,0.130162,0.541725,-41.900300,-5.952630
20110217_170005,680.257141,-237.595520,661.304016,-253.219070,18.953125,15.623550,4.404677,0.130618,0.708391,-38.826600,-4.940900
20110217_200005,698.733582,-239.922791,678.954895,-255.445145,19.778687,15.522354,4.405020,0.130961,0.833391,-31.956900,-2.624110
20110217_230005,714.809998,-240.378662,695.988037,-257.721619,18.821960,17.342957,4.405362,0.131303,0.958391,-37.408900,-3.816700
20110218_020005,730.526428,-242.021896,712.441467,-260.040405,18.084961,18.018509,4.405704,0.131645,0.083391,-49.309100,-7.105820
20110218_070005,757.157959,-243.785400,738.666992,-264.089325,18.490967,20.303925,4.406274,0.132216,0.291725,-44.380600,-6.826720
20110218_100505,770.757507,-247.982254,753.923401,-266.640961,16.834106,18.658707,4.406626,0.132567,0.420197,-47.342800,-8.603560
20110218_130005,785.202881,-249.354034,767.636047,-269.127502,17.566833,19.773468,4.406959,0.132900,0.541725,-44.875300,-7.278070
20110218_160025,801.330139,-254.327103,782.336975,-271.753784,18.993164,17.426682,4.407302,0.133243,0.666956,-44.710500,-4.794360
20110219_103406,185.004593,432.867737,170.588470,416.538788,14.416122,16.328949,4.409419,0.135360,0.440347,-51.513100,-9.950740
20110219_142006,214.793900,431.511963,203.224960,415.728882,11.568939,15.783081,4.409849,0.135790,0.597292,-39.326100,-5.571790
20110219_181705,250.620529,431.508514,237.136978,414.764130,13.483551,16.744385,4.410299,0.136241,0.761863,-38.243300,-6.037480
20110220_000207,298.049896,430.177795,285.764984,413.112732,12.284912,17.065063,4.410955,0.136897,0.001470,-44.628000,-8.231970
20110220_062706,351.050873,428.617981,339.335480,410.859802,11.715393,17.758179,4.411687,0.137629,0.268819,-45.534400,-9.285470
20110220_120005,396.623627,424.465973,384.448486,408.497559,12.175140,15.968414,4.412320,0.138262,0.500058,-33.975800,-4.148340
20110220_183705,450.128693,422.772095,436.821991,405.368469,13.306702,17.403625,4.413075,0.139016,0.775752,-31.619700,-3.940910
20110221_103706,568.901794,413.673431,555.822021,396.129517,13.079773,17.543915,4.414901,0.140842,0.442431,-41.651700,-6.569910
20110221_182505,621.579102,409.334290,609.200012,390.831482,12.379089,18.502808,4.415790,0.141731,0.767419,-47.424900,-9.750630
20110222_062705,698.098694,400.730042,684.825439,381.595398,13.273254,19.134644,4.417163,0.143104,0.268808,-36.406200,-5.234730
20110226_120005,-796.351318,487.083435,-814.463379,479.587830,18.112061,7.495605,4.428748,0.154689,0.500058,-43.389700,-7.645290
20110226_132006,-807.820435,488.692871,-817.455688,480.880463,9.635254,7.812408,4.428900,0.154841,0.555625,-46.439300,-8.822920
20110227_060526,-741.771851,505.900482,-754.480896,496.539581,12.709045,9.360901,4.430811,0.156752,0.253773,-42.976400,-5.339930
20110227_072905,-733.129395,504.652405,-748.803345,497.804382,15.673950,6.848022,4.430970,0.156911,0.311863,-46.685900,-7.862110
20110227_090605,-731.285156,508.810822,-742.237366,499.243561,10.952209,9.567261,4.431155,0.157096,0.379225,-46.439300,-8.515980
20110227_103605,-719.290771,509.555206,-735.902893,500.562286,16.612122,8.992920,4.431326,0.157267,0.441725,-46.110400,-8.800960
20110227_120605,-719.035767,511.616333,-729.529907,501.862030,10.494141,9.754303,4.431497,0.157438,0.504225,-46.110400,-8.188370
20110227_133605,-707.758423,511.035858,-723.002380,503.145020,15.243958,7.890839,4.431668,0.157609,0.566725,-44.133000,-6.762440
20110227_150605,-704.881836,512.755981,-716.243408,504.437988,11.361572,8.317993,4.431839,0.157780,0.629225,-40.905200,-5.550710
20110227_163605,-694.052307,510.644501,-709.406860,505.712280,15.354553,4.932220,4.432010,0.157951,0.691725,-36.907800,-4.689850
20110227_180605,-690.865723,515.006592,-702.415894,506.979797,11.550171,8.026794,4.432181,0.158122,0.754225,-32.714800,-3.300870
20110227_193604,-680.300293,513.310791,-695.270752,508.227539,14.970459,5.083252,4.432352,0.158294,0.816713,-32.125400,-2.828720
20110227_210605,-676.691284,518.322815,-688.047852,509.476868,11.356567,8.845947,4.432524,0.158465,0.879225,-35.904100,-3.733980
20110227_223905,-667.834106,515.335571,-680.400391,510.753601,12.566284,4.581970,4.432700,0.158641,0.943808,-39.575800,-4.335410
20110228_000904,-662.051147,521.186646,-672.868774,511.981415,10.817627,9.205231,4.432871,0.158813,0.006296,-42.480000,-6.377850
20110228_013905,-651.818848,517.282532,-665.259766,513.199707,13.440918,4.082825,4.433043,0.158984,0.068808,-44.792900,-7.710280
20110228_031404,-645.713562,523.272644,-657.033264,514.457153,11.319702,8.815491,4.433223,0.159164,0.134769,-44.957800,-7.970710
20110228_045104,-636.324951,520.735229,-648.381409,515.725220,12.056458,5.010010,4.433408,0.159349,0.202130,-45.863600,-8.166590
20110228_062904,-628.808105,525.276672,-639.574829,516.986511,10.766724,8.290161,4.433594,0.159535,0.270185,-45.534400,-8.144780
20110228_080604,-618.415283,522.709351,-630.953369,518.218445,12.538086,4.490906,4.433778,0.159719,0.337546,-45.781300,-8.384770
20110228_094104,-612.090210,527.835938,-621.962830,519.404968,9.872620,8.430969,4.433959,0.159900,0.403519,-46.685900,-8.888850
20110228_111105,-603.855469,525.770630,-613.465454,520.504517,9.609985,5.266113,4.434130,0.160071,0.466030,-47.014400,-8.691230
20110228_124104,-594.503601,531.851379,-604.929321,521.583374,10.425720,10.268005,4.434301,0.160242,0.528519,-45.616700,-7.883800
20110301_060525,-484.146820,542.863403,-496.975830,533.105286,12.829010,9.758118,4.436287,0.162228,0.253762,-32.798900,-2.501540
20110301_073504,-472.090027,540.948486,-487.010895,533.989319,14.920868,6.959167,4.436457,0.162398,0.316019,-34.815000,-3.115850
20110301_090503,-465.237732,545.390320,-476.930359,534.876160,11.692627,10.514160,4.436628,0.162569,0.378507,-39.326100,-4.668950
20110301_230055,-347.107422,534.051025,-357.041901,523.622498,9.934479,10.428528,4.438218,0.164159,0.958970,-42.562700,-6.741020
20110302_011406,-325.271790,534.683228,-340.278839,524.605713,15.007050,10.077515,4.438471,0.164412,0.051458,-45.205000,-8.450340
20110302_030005,-316.407288,537.029663,-326.837891,525.300232,10.430603,11.729431,4.438672,0.164613,0.125058,-46.274900,-6.805280
20110302_050005,-297.420898,537.115540,-311.581818,526.036255,14.160919,11.079285,4.438900,0.164842,0.208391,-32.883100,-3.218610
20110302_063005,-288.822052,537.567383,-300.033356,526.602722,11.211304,10.964661,4.439072,0.165013,0.270891,-37.241900,-4.106810
20110302_080005,-274.650208,536.583923,-288.407349,527.157471,13.757141,9.426453,4.439243,0.165184,0.333391,-42.231600,-5.550710
20110302_110006,-254.908722,539.395691,-265.001343,528.196777,10.092621,11.198914,4.439585,0.165526,0.458403,-45.369700,-9.484520
20110302_130006,-233.863464,540.374634,-249.242874,528.769470,15.379410,11.605164,4.439813,0.165754,0.541736,-39.575800,-5.150670
20110303_073027,-89.790390,546.633484,-100.463699,532.672058,10.673309,13.961426,4.441924,0.167865,0.312812,-34.982700,-4.940900
20110303_094306,-53.701939,541.483765,-62.149017,528.488892,8.447079,12.994873,4.442176,0.168118,0.404931,-48.490700,-9.639660
20110303_120006,-32.765846,541.593323,-43.416481,528.599976,10.650635,12.993347,4.442437,0.168378,0.500069,-37.826300,-5.171680
20110303_151606,-6.030594,541.587463,-16.457088,528.721985,10.426495,12.865479,4.442810,0.168751,0.636181,-38.576700,-5.698550
20110303_184005,20.859373,541.163818,11.583836,528.717407,9.275537,12.446411,4.443197,0.169138,0.777836,-35.987900,-4.606320
20110303_215306,48.947582,542.304932,38.118214,528.623291,10.829369,13.681641,4.443564,0.169505,0.911875,-43.141800,-5.487400
20110304_014505,80.415268,541.572571,69.905716,528.347839,10.509552,13.224731,4.444005,0.169947,0.072975,-38.743300,-6.207510
20110304_061505,116.683762,540.947266,106.830101,527.874146,9.853661,13.073120,4.444519,0.170460,0.260475,-33.303600,-4.106810
20110304_110005,155.813721,540.943237,145.608582,527.153809,10.205139,13.789429,4.445061,0.171002,0.458391,-38.326600,-5.762000
20110304_160205,196.976898,540.394775,186.317535,526.120178,10.659363,14.274597,4.445635,0.171576,0.668113,-35.317900,-4.919970
20110304_230505,253.932770,538.648315,242.631516,524.265076,11.301254,14.383240,4.446439,0.172380,0.961863,-42.231600,-6.955400
20110305_020005,277.484619,537.682129,265.690033,523.369385,11.794586,14.312744,4.446772,0.172713,0.083391,-31.535400,-3.733980
20110305_050005,299.412231,538.488647,289.095520,522.376038,10.316711,16.112610,4.447114,0.173055,0.208391,-39.242900,-5.698550
20110305_080005,323.303040,538.123779,312.347534,521.313965,10.955505,16.809814,4.447456,0.173397,0.333391,-45.863600,-9.241330
20110305_095308,354.445007,531.545776,344.576019,516.189209,9.868988,15.356567,4.447671,0.173612,0.411898,-40.739200,-6.335230
20110305_114006,368.046204,530.766785,358.094482,515.425476,9.951721,15.341309,4.447875,0.173816,0.486181,-36.406200,-3.342040
20110305_133006,382.443970,528.872314,371.805481,514.607788,10.638489,14.264526,4.448084,0.174025,0.562569,-32.798900,-2.195690
20110305_151506,396.164154,529.080200,384.899506,513.810364,11.264648,15.269836,4.448283,0.174224,0.635486,-33.891800,-2.501540
20110305_165006,407.184998,527.929871,396.524994,513.047791,10.660004,14.882080,4.448464,0.174405,0.701458,-33.219500,-1.931300
20110306_171005,573.886780,516.711792,563.843567,498.260834,10.043213,18.450958,4.451240,0.177181,0.715336,-37.993100,-4.273000
20110306_190505,586.772827,513.249023,278.645477,489.016541,308.127350,24.232483,4.451458,0.177400,0.795197,-33.639800,-2.767300
20110308_000544,743.373352,494.783661,732.822510,474.161285,10.550842,20.622375,4.454768,0.180709,0.003981,-51.838900,-9.263390
20110308_014504,750.721558,492.740082,740.238403,472.678009,10.483154,20.062073,4.454957,0.180898,0.072963,-44.875300,-7.321180
20110308_032504,757.807373,490.808929,747.461060,471.170929,10.346313,19.638000,4.455147,0.181088,0.142407,-43.885400,-6.122440
20110308_063106,769.758850,486.920319,758.993042,468.597229,10.765808,18.323090,4.455501,0.181442,0.271597,-46.932300,-8.757050
20110308_080504,775.638367,485.852814,765.327515,467.138367,10.310852,18.714447,4.455679,0.181620,0.336852,-46.932300,-9.020840
20110308_183036,792.427063,448.853333,779.170654,429.911102,13.256409,18.942230,4.456869,0.182810,0.771250,-36.155200,-5.360990
20110308_220005,804.017700,444.924683,790.333008,426.414490,13.684692,18.510193,4.457267,0.183208,0.916725,-35.569200,-5.656280
20110309_000005,808.905762,444.411560,796.242432,424.376282,12.663330,20.035278,4.457495,0.183436,0.000058,-42.976400,-7.407470
20110310_094136,271.982361,273.322815,261.342010,258.718597,10.640350,14.604218,4.461339,0.187280,0.403889,-42.976400,-7.666950
20110310_144005,317.239014,272.551758,305.450470,256.946899,11.788544,15.604858,4.461906,0.187847,0.611169,-39.658900,-6.377850
20110310_225505,388.840759,269.806091,377.058990,253.402557,11.781769,16.403534,4.462847,0.188788,0.954919,-39.742100,-6.271320
20110311_033108,424.797272,268.797516,413.270996,251.324432,11.526276,17.473083,4.463372,0.189313,0.146620,-46.028200,-9.418130
20110312_075526,645.325195,253.611786,632.422546,232.609009,12.902649,21.002777,4.466612,0.192553,0.330162,-34.395500,-3.982360
20110312_090105,652.889832,251.218750,642.249512,231.556213,10.640320,19.662537,4.466737,0.192678,0.375752,-45.699000,-8.537840
20110312_105506,666.917725,251.094086,655.227417,230.007584,11.690308,21.086502,4.466954,0.192895,0.454931,-42.976400,-5.529600
20110312_120356,654.462769,251.587204,642.159546,229.202866,12.303223,22.384338,4.467085,0.193026,0.502731,-46.685900,-6.783860
20110312_130338,680.661316,246.702560,669.595398,228.243835,11.065918,18.458725,4.467198,0.193139,0.544190,-33.723800,-1.202070
20110312_142006,688.645996,244.451935,677.899597,227.167343,10.746399,17.284592,4.467344,0.193285,0.597292,-38.076500,-1.444680
